User_ID,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
14733363,68,190,94,29,105,40.8,231
14861698,20,166,60,14,94,40.3,66
11179863,69,179,79,5,88,38.7,26
16180408,34,179,71,13,100,40.5,71
17771927,27,154,58,10,81,39.8,35
15130815,36,151,50,23,96,40.7,123
19602372,33,158,56,22,95,40.5,112
11117088,41,175,85,25,100,40.7,143
12132339,60,186,94,21,97,40.4,134
17964668,26,146,51,16,90,40.2,72
13723164,36,177,76,1,74,37.8,3
13681290,21,157,56,17,100,40,92
15566424,66,171,79,11,90,40,58
12891699,32,157,54,18,93,40.4,88
13823829,53,182,85,2,82,38.1,7
17557348,39,156,62,28,104,40.8,170
12198133,39,182,82,4,82,38.6,11
15236104,46,169,67,11,89,40.2,43
11042324,27,171,65,4,85,38.6,15
16864285,50,188,86,14,94,40.2,74
11674347,67,189,93,8,77,39.2,29
19797300,31,148,50,8,84,39.5,32
14711095,33,157,60,3,80,38.7,10
14434854,20,165,59,29,100,41,155
14893804,48,182,85,1,80,37.7,3
17231597,29,176,75,10,83,39.7,24
10901446,33,173,73,7,78,39.3,12
15874362,42,190,88,3,83,38.9,10
15569252,62,159,59,29,106,41.2,195
15615743,38,171,75,2,81,38.2,5
13363046,20,183,88,16,97,40.5,69
17572853,25,160,59,24,102,40.3,136
17157339,24,165,59,18,91,40.2,80
18328111,42,165,68,22,93,40.8,107
19303479,22,182,84,29,114,41,200
10699201,74,158,59,10,93,39.6,56
15283313,70,154,59,10,88,40,50
16324247,26,182,80,21,96,40.5,100
14277710,44,184,86,25,114,40.8,200
10888188,61,183,86,1,81,38.3,4
13379795,68,157,57,13,92,40.1,70
17181524,61,176,70,20,104,40.5,127
15988442,63,179,80,25,108,40.8,197
19538533,54,171,66,20,98,40.1,113
14591877,54,169,66,3,80,38.9,11
14274480,47,155,55,16,93,40.5,82
16818429,33,184,86,8,86,39.9,26
17476522,24,171,66,24,105,40.6,141
16369885,24,195,98,20,96,40.6,92
17816292,48,152,59,2,79,38,5
15995398,35,193,93,10,83,39.7,30
17615432,21,168,71,3,78,38.5,3
10146087,21,179,73,9,90,39.6,37
17967445,22,158,62,25,105,40.6,147
19670291,69,174,69,2,80,38.1,8
10580576,53,191,101,21,106,40.7,159
15854213,68,155,58,15,100,40.3,93
11138472,69,164,65,23,113,40.4,173
18276801,28,198,101,19,95,40.6,89
13823902,70,188,89,7,82,39.3,31
19222133,36,170,64,9,84,39.6,35
13231909,77,177,80,16,98,40.6,94
12726617,32,167,63,9,99,39.7,49
12538968,62,185,77,13,84,40.4,54
10941668,64,151,56,20,97,40.4,117
12628985,45,175,79,27,104,40.6,173
17691320,45,158,61,20,97,40.7,99
17822027,22,177,71,10,93,39.8,45
13777657,45,169,69,22,113,40.6,166
19423359,66,174,69,28,111,40.9,202
14701930,31,182,83,20,101,40.9,107
11513205,57,163,68,29,109,40.7,199
11842710,53,192,93,5,90,39.1,25
12576313,22,179,67,8,77,39.5,23
12367125,67,192,92,24,108,40.7,200
16913504,27,168,64,2,76,38.2,6
19439155,57,178,83,2,79,38.1,7
16137644,49,168,68,20,99,40.6,113
11622081,39,168,63,29,108,40.7,188
17374074,47,165,72,20,96,40.3,103
19096890,62,197,101,17,103,40.3,128
19628507,41,187,89,23,99,40.7,130
16918679,34,144,50,7,83,39.3,27
11194130,40,163,62,27,111,41.2,185
18863486,55,155,57,11,92,39.8,57
11754581,44,189,88,13,94,40,65
15161631,45,160,60,16,99,40.4,91
18735761,49,164,64,19,105,40.4,120
15878611,46,166,68,12,101,40.1,70
19249559,25,202,100,9,94,39.8,39
15469030,68,171,80,22,95,40.5,136
11157560,25,169,64,14,101,40.2,77
19576971,31,174,67,9,93,39.5,42
15048071,57,184,91,7,95,39.2,41
18707469,27,159,59,14,88,39.9,59
12598637,40,201,98,24,110,40.7,179
14342169,57,171,74,2,73,38.6,6
19208771,23,155,62,5,74,39.2,13
11790318,23,189,87,23,110,40,147
11756583,43,183,88,26,107,40.7,180
16417986,74,201,107,14,96,40.1,101
13065142,45,158,53,23,106,40.7,150
10481882,31,165,60,25,115,40.8,179
19521409,21,195,93,6,93,39.2,23
15862346,50,190,96,3,80,38.3,10
12234447,39,175,74,9,93,39.5,39
14624633,57,169,81,30,112,40.9,247
17074274,26,159,53,19,92,40.5,89
17636190,34,181,83,25,102,40.9,141
14345479,55,160,62,4,87,39.1,18
11772472,52,171,67,15,89,40.6,70
19087162,21,188,90,29,110,40.8,185
15875055,20,136,45,11,94,40.1,54
10939512,79,152,60,29,107,40.8,207
13616455,21,189,91,27,114,41,189
19118405,50,171,74,2,82,38.1,6
10503799,29,180,76,12,97,39.9,60
16572590,22,194,92,6,92,39,23
17336010,28,158,60,27,113,40.8,186
15483091,38,188,93,28,104,40.9,178
10006441,23,169,73,25,102,40.7,122
13075455,68,159,68,24,108,40.5,166
17564519,79,176,86,20,102,40.1,158
18789619,35,182,70,2,83,38.4,7
15444304,67,201,96,18,105,40.5,143
13122354,21,156,52,12,82,39.8,43
10692173,44,143,49,17,92,40.2,86
12890276,43,175,72,23,100,40.7,128
14339451,21,186,79,29,111,41,182
16626118,32,170,70,10,98,39.7,52
17268858,79,179,91,27,107,40.4,236
13816658,51,192,96,19,97,40.6,114
14191617,60,174,67,11,99,39.7,64
13672975,49,184,86,26,103,40.8,171
16361679,46,179,84,6,82,39.2,19
17739883,35,149,54,21,111,40.5,144
19341462,31,172,76,9,94,39.7,37
14117537,42,185,78,26,110,41.4,185
12667831,66,174,69,13,87,39.8,60
10661999,52,189,90,22,96,40.5,127
10366046,59,166,73,23,101,40.4,149
11523134,23,169,71,16,102,40.1,78
12275702,49,164,63,5,91,38.9,24
11190411,25,157,57,23,107,40.8,143
19686449,20,188,84,27,104,41,143
15565644,28,163,66,15,94,40.1,71
10154011,60,182,90,11,90,40.2,58
12676049,29,178,77,15,95,40.4,71
10228092,40,184,87,5,88,39.5,20
18997284,26,191,93,17,96,40.3,78
10836250,26,176,76,19,97,40.4,93
15883541,25,158,58,6,90,39.2,17
16990389,60,190,87,3,84,38.9,12
17046329,25,181,81,23,101,40.8,115
14136420,39,165,65,19,106,40.6,119
13138092,30,153,53,26,108,40.6,168
16655537,23,198,100,12,90,40.4,44
16245184,37,148,51,29,108,40.6,192
19157340,22,147,47,17,101,40.3,96
19810083,26,170,68,23,105,40.7,135
19821989,56,167,60,12,86,40.2,54
17219988,43,171,79,30,115,40.8,239
19572798,38,169,65,14,94,40.1,69
18360844,24,179,80,14,90,40.7,46
13918575,25,164,63,21,101,40.7,115
15319150,31,163,62,4,88,39.1,17
16112624,54,151,57,25,115,40.4,190
11099585,34,190,91,12,89,40.2,48
17300463,28,176,72,27,112,40.7,178
17118372,24,191,95,6,88,39.3,20
14435543,27,167,69,15,90,40.4,64
10908558,35,154,57,19,94,40.6,95
14181557,49,183,89,25,111,40.8,196
17152651,36,185,91,2,91,38.1,9
10192977,58,192,83,18,101,40.8,105
19584135,40,157,61,12,92,40,58
19445771,31,179,77,24,97,40.8,111
11294536,50,182,86,17,101,40.3,108
12845462,36,202,109,6,87,39.1,24
10578158,34,163,61,13,96,40.1,67
19789364,78,153,54,13,84,40.3,62
12301038,41,178,76,28,104,40.8,172
18976127,41,172,71,7,87,39.5,24
11460469,24,178,77,19,98,40.1,84
15238405,67,173,69,20,105,40.5,132
18559105,47,179,75,25,110,40.7,167
12761860,42,154,52,17,101,40.6,101
12777201,25,180,75,23,97,40.6,113
11084582,25,179,78,17,101,40.3,84
11393152,58,165,68,6,88,39.4,28
12327773,68,191,98,22,99,41,157
12038545,24,181,91,14,97,40.4,64
17593004,38,192,92,21,104,40.6,133
11708341,26,164,59,23,108,40.5,145
10753818,64,178,83,24,103,41,174
10608177,49,174,75,7,93,39.2,34
11267944,73,158,57,29,103,40.9,193
19795364,27,180,86,24,107,40.7,147
14290814,66,171,72,18,105,40.5,133
19222644,39,199,104,26,101,40.7,161
12847212,30,168,62,6,76,39.4,18
11986136,76,187,96,12,96,40.1,85
11830053,60,193,90,15,95,40,90
14737350,54,188,90,23,108,40.9,176
15294669,49,166,66,11,89,39.6,51
17146724,24,173,66,7,82,39.3,24
17490159,28,161,57,6,83,39.5,22
15501381,72,197,102,25,106,40.9,212
16736138,32,171,78,29,112,40.9,201
18493316,36,159,59,17,93,40.3,83
17497515,65,204,103,14,93,40.1,87
14364172,36,163,67,27,97,40.7,141
14217831,32,159,63,23,103,40.3,134
10483147,42,180,84,2,80,38.6,5
18046507,34,191,94,29,109,40.9,201
12414011,34,181,78,3,86,38.2,9
10710546,26,191,86,8,83,39.3,20
16175343,31,203,105,29,113,40.8,221
